Parent_Material_Num,Doc_Num
500313000466,9060002615Z
500313000467,9200011286Z
500313000467,9490006167Z
500313000467,9690000021Z
500313000467,9060002713Z
500313000467,9040004639Z
500313000467,9200011323Z
500313000467,9200011324Z
500313000467,9040004640Z
500313000467,9200011322Z
500313000467,9510000863Z
500313000467,9030001915Z
500313000467,9490006473Z
500313000467,9030001901Z
500313000467,9490006439Z
500313000467,9510000836Z
500313000467,9050002430Z
500313000467,9060002597Z
500313000467,9060002615Z
500313000468,9200011286Z
500313000468,9490006168Z
500313000468,9690000021Z
500313000468,9060002713Z
500313000468,9040004639Z
500313000468,9200011323Z
500313000468,9200011324Z
500313000468,9040004640Z
500313000468,9200011322Z
500313000468,9510000863Z
500313000468,9030001915Z
500313000468,9490006474Z
500313000468,9030001901Z
500313000468,9490006440Z
500313000468,9510000836Z
500313000468,9050002430Z
500313000468,9060002597Z
500313000468,9060002615Z
500313000469,9200011286Z
500313000469,9490006169Z
500313000469,9690000021Z
500313000469,9060002713Z
500313000469,9040004639Z
500313000469,9200011323Z
500313000469,9200011324Z
500313000469,9040004640Z
500313000469,9200011322Z
500313000469,9510000863Z
500313000469,9030001915Z
500313000469,9490006475Z
500313000469,9030001901Z
500313000469,9490006441Z
500313000469,9510000836Z
500313000469,9050002430Z
500313000469,9060002597Z
500313000469,9060002615Z
500313000470,9200011286Z
500313000470,9490006170Z
500313000470,9690000021Z
500313000470,9060002713Z
500313000470,9040004639Z
500313000470,9200011323Z
500313000470,9200011324Z
500313000470,9040004640Z
500313000470,9200011322Z
500313000470,9510000863Z
500313000470,9030001915Z
500313000470,9490006476Z
500313000470,9030001901Z
500313000470,9490006442Z
500313000470,9510000836Z
500313000470,9050002430Z
500313000470,9060002597Z
500313000470,9060002615Z
500313000471,9200011286Z
500313000471,9490006171Z
500313000471,9690000021Z
500313000471,9060002713Z
500313000471,9040004639Z
500313000471,9200011323Z
500313000471,9200011324Z
500313000471,9040004640Z
500313000471,9200011322Z
500313000471,9510000863Z
500313000471,9030001915Z
500313000471,9490006477Z
500313000471,9030001901Z
500313000471,9490006443Z
500313000471,9510000836Z
500313000471,9050002430Z
500313000471,9060002597Z
500313000471,9060002615Z
500313000472,9200011286Z
500313000472,9490006172Z
500313000472,9690000021Z
500313000472,9060002713Z
500313000472,9040004639Z
500313000472,9200011323Z
500313000472,9200011324Z
500313000472,9040004640Z
500313000472,9200011322Z
500313000472,9510000863Z
500313000472,9030001915Z
500313000472,9490006478Z
500313000472,9030001901Z
500313000472,9490006444Z
500313000472,9510000836Z
500313000472,9050002430Z
500313000472,9060002597Z
500313000472,9060002615Z
500313000473,9200011286Z
500313000473,9490006032Z
500313000473,9690000021Z
500313000473,9060002713Z
500313000473,9040004639Z
500313000473,9200011323Z
500313000473,9200011324Z
500313000473,9630000896Z
500313000473,9040004640Z
500313000473,9200011322Z
500313000473,9510000863Z
500313000473,9030001915Z
500313000473,9490006479Z
500313000473,9670000045Z
500313000473,9030001901Z
500313000473,9490006445Z
500313000473,9510000836Z
500313000473,9050002430Z
500313000473,9060002597Z
500313000473,9060002615Z
500313000474,9100005638Z
500313000474,9490006328Z
500313000474,9490006331Z
500313000474,9690000027Z
500313000474,9490006223Z
500313000474,9490006224Z
500313000474,9040004751Z
500313000474,9200011337Z
500313000474,9200011338Z
500313000474,9200011336Z
500313000474,9510000869Z
500313000474,9510000868Z
500313000474,9030001932Z
500313000474,9030001931Z
500313000474,9510000865Z
500313000474,9490006747Z
500313000474,9490006787Z
500313000474,9060002744Z
500313000474,9030001908Z
500313000474,9060002615Z
500313000475,9100005638Z
500313000475,9490006329Z
500313000475,9490006326Z
500313000475,9690000027Z
500313000475,9040004751Z
500313000475,9200011337Z
500313000475,9200011338Z
500313000475,9200011336Z
500313000475,9490006643Z
500313000475,9510000869Z
500313000475,9510000868Z
500313000475,9030001932Z
500313000475,9030001931Z
500313000475,9510000865Z
500313000475,9490006642Z
500313000475,9060002744Z
500313000475,9630000919Z
500313000475,9030001908Z
500313000475,9200011289Z
500313000475,9060002615Z
500313000477,9100005638Z
500313000477,9490006327Z
500313000477,9490006330Z
500313000477,9690000027Z
500313000477,9490006229Z
500313000477,9490006230Z
500313000477,9040004751Z
500313000477,9200011337Z
500313000477,9200011338Z
500313000477,9200011336Z
500313000477,9510000869Z
500313000477,9510000868Z
500313000477,9030001932Z
500313000477,9030001931Z
500313000477,9510000865Z
500313000477,9490006737Z
500313000477,9490006777Z
500313000477,9030001908Z
500313000522,9200011337Z
500313000522,9200011338Z
500313000522,9200011336Z
500313000522,9030001932Z
500313000522,9030001931Z
500313000522,9510000865Z
500313000522,9490006721Z
500313000522,9490006761Z
