Parent_Material_Num,Child_Material_Num
500313000460,149101000207
500313000460,149105000848
500313000460,400409000490
500313000460,400455000315
500313000459,143203000935
500313000459,143203000990
500313000459,149101000207
500313000459,149105000848
500313000459,400409000490
500313000459,400455000314
500313000458,143203000935
500313000458,143203000990
500313000458,149101000207
500313000458,149105000848
500313000458,400409000490
500313000458,400455000313
500313000457,143203000935
500313000457,143203000990
500313000457,149101000207
500313000457,149105000848
500313000457,400409000490
500313000457,400455000312
500313000456,143203000935
500313000456,143203000990
500313000456,149101000207
500313000456,149105000848
500313000456,400409000490
500313000456,400455000311
500313000455,143203000935
500313000455,143203000990
500313000455,149101000207
500313000455,149105000848
500313000455,400409000490
500313000455,400455000310
500313000454,143203000935
500313000454,143203000990
500313000454,149101000207
500313000454,149105000848
500313000454,400409000490
500313000454,400455000309
500313000453,143203000935
500313000453,143203000990
500313000453,149101000207
500313000453,149105000848
500313000453,400409000490
500313000453,400455000308
500313000452,143203000935
500313000452,143203000990
500313000452,149101000207
500313000452,149105000848
500313000452,400409000490
500313000452,400455000307
500313000451,143203000935
500313000451,143203000990
500313000451,149101000207
500313000451,149105000848
500313000451,400409000490
500313000451,400455000306
500313000450,143203000935
500313000450,143203000990
500313000450,149101000207
500313000450,149105000848
500313000450,400409000490
500313000450,400455000305
500313000449,143203000935
500313000449,143203000990
500313000449,149101000207
500313000449,149105000848
500313000449,400409000490
500313000449,400455000304
500313000448,143203000935
500313000448,143203000990
500313000448,149101000207
500313000448,149105000848
500313000448,400409000490
500313000448,400455000303
500313000447,143203000935
500313000447,143203000990
500313000447,149101000207
500313000447,149105000848
500313000447,400409000490
500313000447,400455000302
500313000446,143203000935
500313000446,143203000990
500313000446,149101000207
500313000446,149105000848
500313000446,400409000490
500313000446,400455000301
500313000445,143203000935
500313000445,143203000990
500313000445,149101000207
500313000445,149105000848
500313000445,400409000490
500313000445,400455000300
500313000444,143203000935
500313000444,143203000990
500313000444,149101000207
500313000444,149105000848
500313000444,400409000490
500313000444,400455000299
400455000328,141006000015
400455000328,141098000164
400455000328,141806000381
400455000328,143101000406
400455000328,143101000407
400455000328,143201000905
400455000328,143206000313
400455000328,143208000463
400455000328,400314000053
400455000327,141006000015
400455000327,141098000164
400455000327,141806000380
400455000327,143101000406
400455000327,143101000407
400455000327,143201000905
400455000327,143206000313
400455000327,143208000463
400455000327,400314000053
400455000326,141006000015
400455000326,141098000164
400455000326,141806000379
400455000326,143101000406
400455000326,143101000407
400455000326,143201000905
400455000326,143206000313
400455000326,143208000463
400455000326,400314000053
400455000325,141006000015
400455000325,141098000164
400455000325,141806000378
400455000325,143101000406
400455000325,143101000407
400455000325,143201000905
400455000325,143206000313
400455000325,143208000463
400455000325,400314000053
400455000324,141006000015
400455000324,141098000164
400455000324,141806000377
400455000324,143101000406
400455000324,143101000407
400455000324,143201000905
400455000324,143206000313
400455000324,143208000463
400455000324,400314000053
400455000323,141006000015
400455000323,141098000164
400455000323,141806000376
400455000323,143101000406
400455000323,143101000407
400455000323,143201000905
400455000323,143206000313
400455000323,143208000463
400455000323,400314000053
400455000322,141006000015
400455000322,141098000164
400455000322,141806000375
400455000322,143101000406
400455000322,143101000407
400455000322,143201000905
400455000322,143206000313
400455000322,143208000463
400455000322,400314000053
400455000321,141006000015
400455000321,141098000164
400455000321,141806000374
400455000321,143101000406
400455000321,143101000407
400455000321,143201000905
400455000321,143206000313
400455000321,143208000463
400455000321,400314000053
400455000320,141006000015
400455000320,141098000164
400455000320,141806000373
400455000320,143101000406
400455000320,143101000407
400455000320,143201000905
400455000320,143206000313
400455000320,143208000463
400455000320,400314000053
400455000319,141006000015
400455000319,141098000164
400455000319,141806000372
400455000319,143101000406
400455000319,143101000407
400455000319,143201000905
400455000319,143206000313
400455000319,143208000463
400455000319,400314000053
400455000318,141006000015
400455000318,141098000164
400455000318,141806000371
400455000318,143101000406
400455000318,143101000407
400455000318,143201000905
400455000318,143206000313
400455000318,143208000463
400455000318,400314000053
400455000317,141006000015
400455000317,141098000164
400455000317,141806000370
400455000317,143101000406
400455000317,143101000407
400455000317,143201000905
400455000317,143206000313
400455000317,143208000463
400455000317,400314000053
400455000315,141006000015
400455000315,141098000164
400455000315,141806000368
400455000315,143101000406
400455000315,143101000407
400455000315,143201000905
400455000315,143206000313
400455000315,143208000463
400455000315,400314000053
400455000314,141006000015
400455000314,141098000164
400455000314,141806000367
400455000314,143101000406
400455000314,143101000407
400455000314,143201000905
400455000314,143206000313
400455000314,143208000463
400455000314,400314000053
400455000313,141006000015
400455000313,141098000164
400455000313,141806000366
400455000313,143101000406
400455000313,143101000407
400455000313,143201000905
400455000313,143206000313
400455000313,143208000463
400455000313,400314000053
400455000312,141006000015
400455000312,141098000164
400455000312,141806000365
400455000312,143101000406
400455000312,143101000407
400455000312,143201000905
400455000312,143206000313
400455000312,143208000463
400455000312,400314000053
400455000311,141006000015
400455000311,141098000164
400455000311,141806000364
400455000311,143101000406
400455000311,143101000407
400455000311,143201000905
400455000311,143206000313
400455000311,143208000463
400455000311,400314000053
400455000310,141006000015
400455000310,141098000164
400455000310,141806000363
400455000310,143101000406
400455000310,143101000407
400455000310,143201000905
400455000310,143206000313
400455000310,143208000463
400455000310,400314000053
400455000309,141006000015
400455000309,141098000164
400455000309,141806000362
400455000309,143101000406
400455000309,143101000407
400455000309,143201000905
400455000309,143206000313
400455000309,143208000463
400455000309,400314000053
400455000308,141006000015
400455000308,141098000164
400455000308,141806000361
400455000308,143101000406
400455000308,143101000407
400455000308,143201000905
400455000308,143206000313
400455000308,143208000463
400455000308,400314000053
400455000307,141006000015
400455000307,141098000164
400455000307,141806000360
400455000307,143101000406
400455000307,143101000407
400455000307,143201000905
400455000307,143206000313
400455000307,143208000463
400455000307,400314000053
400455000306,141006000015
400455000306,141098000164
400455000306,141806000359
400455000306,143101000406
400455000306,143101000407
400455000306,143201000905
400455000306,143206000313
400455000306,143208000463
400455000306,400314000053
400455000305,141006000015
400455000305,141098000164
400455000305,141806000358
400455000305,143101000406
400455000305,143101000407
400455000305,143201000905
400455000305,143206000313
400455000305,143208000463
400455000305,400314000053
400455000304,141006000015
400455000304,141098000164
400455000304,141806000357
400455000304,143101000406
400455000304,143101000407
400455000304,143201000905
400455000304,143206000313
400455000304,143208000463
400455000304,400314000053
400455000303,141006000015
400455000303,141098000164
400455000303,141806000356
400455000303,143101000406
400455000303,143101000407
400455000303,143201000905
400455000303,143206000313
400455000303,143208000463
400455000303,400314000053
400455000302,141006000015
400455000302,141098000164
400455000302,141806000355
400455000302,143101000406
400455000302,143101000407
400455000302,143201000905
400455000302,143206000313
400455000302,143208000463
400455000302,400314000053
400455000301,141006000015
400455000301,141098000164
400455000301,141806000354
400455000301,143101000406
400455000301,143101000407
400455000301,143201000905
400455000301,143206000313
400455000301,143208000463
400455000301,400314000053
400455000300,141006000015
400455000300,141098000164
400455000300,141806000353
400455000300,143101000406
400455000300,143101000407
400455000300,143201000905
400455000300,143206000313
400455000300,143208000463
400455000300,400314000053
400455000299,141006000015
400455000299,141098000164
400455000299,141806000352
400455000299,143101000406
400455000299,143101000407
400455000299,143201000905
400455000299,143206000313
400455000299,143208000463
400455000299,400314000053
400430000184,141006000015
400430000184,141098000164
400430000184,143101000406
400430000184,143101000407
400430000184,143201000905
400430000184,143201000921
400430000184,143206000317
400430000184,143206000318
400430000184,143206000319
400430000184,143208000463
400430000184,341109003310
400430000184,400313000103
400430000184,400314000054
400430000183,141006000015
400430000183,141098000164
400430000183,143101000406
400430000183,143101000407
400430000183,143201000905
400430000183,143201000921
400430000183,143206000317
400430000183,143206000318
400430000183,143206000319
400430000183,143208000463
400430000183,341109003308
400430000183,400313000103
400430000183,400314000054
400430000182,141006000015
400430000182,141098000164
400430000182,143101000406
400430000182,143101000407
400430000182,143201000905
400430000182,143201000921
400430000182,143206000317
400430000182,143206000318
400430000182,143206000319
400430000182,143208000463
400430000182,341109003306
400430000182,400313000103
400430000182,400314000054
400430000181,141006000015
400430000181,141098000164
400430000181,143101000406
400430000181,143101000407
400430000181,143201000905
400430000181,143201000921
400430000181,143206000317
400430000181,143206000318
400430000181,143206000319
400430000181,143208000463
400430000181,341109003304
400430000181,400313000103
400430000181,400314000054
400430000180,141006000015
400430000180,141098000164
400430000180,143101000406
400430000180,143101000407
400430000180,143201000905
400430000180,143201000921
400430000180,143206000317
400430000180,143206000318
400430000180,143206000319
400430000180,143208000463
400430000180,341109003302
400430000180,400313000103
400430000180,400314000054
400430000179,141006000015
400430000179,141098000164
400430000179,143101000406
400430000179,143101000407
400430000179,143201000905
400430000179,143201000921
400430000179,143206000317
400430000179,143206000318
400430000179,143206000319
400430000179,143208000463
400430000179,341109003300
400430000179,400313000103
400430000179,400314000054
